L4_Indicator,Organization,Final_Score,Source_Document,Analysis_Context,Source_URL (Placeholder)
"Codes of conduct, roles, and training for AI responsibility are in place",Anthropic,5,"Responsible Scaling Policy (RSP) (v2.2)","Defines RSO joint approval and structural checks on CEO power, institutionalizing safety control.","(See Appendix Section 5)"
"Codes of conduct, roles, and training for AI responsibility are in place",OpenAI,3,"Preparedness Framework 2.0","Confirms the Safety Advisory Group (SAG)’s authority is **advisory**; CEO retains veto power.","(See Appendix Section 5)"
"Board-level AI risk oversight & annual review/attestation",Anthropic,5,"The Long-Term Benefit Trust (LTBT)","Evidence of the fiduciary firewall via Class T Shares, creating a legal constraint on executive power.","(See Appendix Section 5)"
"Board-level AI risk oversight & annual review/attestation",OpenAI,3,"Safety and Security Committee Charter","Oversight relies on an advisory committee of the Board; subject to shareholder voting power.","(See Appendix Section 5)"
"Stakeholder engagement and escalation paths defined",OpenAI,4,"Raising Concerns Policy and Integrity Line","Evidence of formalized whistleblower protection and systematized Kodex intake portal.","(See Appendix Section 5)"
"Stakeholder engagement and escalation paths defined",Anthropic,3,"Responsible Disclosure Policy / Gov’t Requests Report","Policy-based engagement; strong precedent for high-stakes escalation (Cyber Espionage) but lacks systematized intake.","(See Appendix Section 5)"
"Law-enforcement escalation SLAs",Anthropic,3,"Anthropic Government Requests Report","Precedent of coordinating technical disclosure for nation-state cyber threats (functional escalation tier).","(See Appendix Section 5)"
"Law-enforcement escalation SLAs",OpenAI,2,"Law Enforcement Policy v.2024-07","Evidence of internal black-box classification; explicit non-escalation for self-harm; no published response SLA.","(See Appendix Section 5)"
"Indigenous data stewardship & consent",OpenAI,1,"OpenAI to Z Challenge","Gamified the search for archaeological sites using ""open data,"" violating the spirit of the CARE Principles.","(See Appendix Section 5)"
"Indigenous data stewardship & consent",Anthropic,0,"Responsible Scaling Policy (RSP)","No evidence of specific policy or commitment to Indigenous Data Sovereignty or CARE Principles found.","(See Appendix Section 5)"
"Change-management plan preserves educator accountability, defines roles, metrics, timeline",OpenAI,4,"COPS Office (Axon Draft One) / Khan Academy Pilots","Evidence of delegated governance via Human-in-the-Loop; productized override controls in partner integrations.","(See Appendix Section 5)"
"Change-management plan preserves educator accountability, defines roles, metrics, timeline",Anthropic,4,"Responsible Scaling Policy (RSP)","Safety Case methodology imposes metric-driven, structural constraints on deployment timelines in sensitive sectors.","(See Appendix Section 5)"
"Regulatory mapping (e.g., AI Act and sectoral) is current",OpenAI,3,"A Primer on the EU AI Act (OpenAI)","Signed Code of Practice; meets baseline GPAI obligations but struggles to map liability of new ""thinking"" agents.","(See Appendix Section 5)"
"Regulatory mapping (e.g., AI Act and sectoral) is current",Anthropic,3,"EU AI Act (Regulation (EU) 2024/1689)","Meets baseline GPAI obligations; struggles with regulatory complexity introduced by agentic functionality marketed for coding/computer use.","(See Appendix Section 5)"
"External claims and marketing match measured performance (no overclaiming)",OpenAI,2,"DeepMind CEO Rejects OpenAI's Claim","Evidence of marketing overstatement (""PhD-Level"") leading to FTC exposure.","(See Appendix Section 5)"
"External claims and marketing match measured performance (no overclaiming)",Anthropic,2,"GitHub (SWE-bench Issue #465)","Evidence of algorithmic ""reward hacking"" that contaminated public performance metrics.","(See Appendix Section 5)"
"No targeted ads to minors",OpenAI,1,"Storyboard18 (News)","Report detailing plans for ad-targeting based on emotional data, posing a **Critical Failure** risk to minors.","(See Appendix Section 5)"
"No targeted ads to minors",Anthropic,5,"Introducing Claude for Nonprofits","Structural avoidance of ad-supported model; no financial incentive to profile user data.","(See Appendix Section 5)"
"Loot box age gating & disclosures",OpenAI,2,"ChatGPT App Updates","Introduction of ""streaks/XP"" (addictive mechanics) borrowed from gaming industry.","(See Appendix Section 5)"
"Loot box age gating & disclosures",Anthropic,5,"Utilitarian Product Design","Gold Standard design; product remains purely utilitarian with no streaks or gamification features.","(See Appendix Section 5)"
"Targeting limits in vulnerable contexts (policy)",OpenAI,2,"The Times of India (GPT Store)","Evidence of critical failure in age-gating and moderation on emotionally exploitative ""AI Girlfriends"".","(See Appendix Section 5)"
"Targeting limits in vulnerable contexts (policy)",Anthropic,4,"Content moderation - Claude Docs","Demonstrates tighter, risk-averse refusal boundaries on specialized/sensitive advice definitions.","(See Appendix Section 5)"
"Competition & monopoly risk program",OpenAI,2,"Competition Policy Brief (EU Commission)","Strategic moves (acqui-hires) treated as de facto mergers; high risk of vertical concentration with Microsoft.","(See Appendix Section 5)"
"Competition & monopoly risk program",Anthropic,2,"ai fray (News)","Structural dependency on Google/Amazon compute; facing potential DOJ investment ban and active antitrust scrutiny.","(See Appendix Section 5)"
"Equitable access & pricing policy",Anthropic,5,"Introducing Claude for Nonprofits","Evidence of the **75% discount** used to support the Gold Standard rating; structurally bridges the AI Divide.","(See Appendix Section 5)"
"Equitable access & pricing policy",OpenAI,3,"Nonprofit Discounts (OpenAI)","Offers standard corporate discounts (20%-50%); meets baseline compliance but preserves economic stratification of access.","(See Appendix Section 5)"
"Cross-border impact due diligence",OpenAI,2,"MIT Sloan Study","Evidence of **normative bias export** (downgrading non-Western nations) creating MNC liability risk.","(See Appendix Section 5)"
"Cross-border impact due diligence",Anthropic,2,"Systemic Opacity/EU AI Act","Black-box agentic models deployed without robust HRIA/explainability, creating severe due process risk abroad.","(See Appendix Section 5)"